PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14
-7.257325344672187,-2.7544918808447374,5.82717612940638,4.1293217146509,0.11897493543798168,3.070006455827201,0.10759115472255588,0.15650470706574757,0.1234776937431033,0.1465056638613375,-0.04744808264358685,-0.24798008503059787,0.062216875071727754,0.2707524827195833
-7.593209188645855,-4.807564203479355,-3.396227166111936,-1.4465254219654347,4.966494547491138,1.3861402182446236,-0.31637608185811766,-0.24618968604128644,-0.09640257694908218,0.3000677682154308,-0.147207768154822,-0.013527688030508151,0.3278867946336666,0.27468634276809983
-7.67582110935881,0.2570282882079989,-2.1651592384228127,0.5219570881223129,2.9947690258283317,0.44249354353050196,0.168019620614574,-0.36467853756671464,-0.007990046835146604,0.25885388684563004,0.015414370951401598,-0.003362065433702353,0.22713939911646414,0.19190501139388252
-7.570983855167716,-4.703665539400144,-3.261533835156579,-2.2394516840929506,3.9704538933573326,-0.5926919363996338,-0.24024316785309077,-0.19762069827455875,0.16911439064969225,0.11460671292250682,0.2239353764935063,0.0988819056009994,0.14945864045452736,-0.058130788966703206
-6.652630390845015,-2.578357687373139,8.512323993100868,-3.64265047502937,4.087671324260043,-1.4603839656813333,-0.5632176109464511,-0.3291655893124792,0.12295133270135909,0.2594603211769812,-0.2085062894191429,0.011734895114909279,-0.20959867709395016,-0.12123048244185228
-8.075629917944203,-4.679271937240462,-6.393837793771534,5.963336241972599,-3.109808551763378,1.0222480525972761,0.634694815889604,0.13204748129704416,-0.3981844091376319,-0.16790786264259558,-0.006660536079697772,-0.2356719979717965,0.12903969210651894,0.2556057604539356
-7.710336068973791,-4.648446100567144,-5.205723179632172,2.712740788901242,-0.7105352386034913,-0.07534736678723311,0.17388536625684348,0.21315073363133497,0.07730460482542621,0.19423945588799793,0.1776586092441753,-0.07919706041195092,0.15940104791666262,0.20406661588538305
-7.731323683362291,0.3664230963060205,-2.548147174902102,1.1118999716146303,1.0571469378755778,-0.9937587850506323,0.18260023305013917,0.17367643115107778,-0.11018569032207962,0.2717647267386736,0.03911163910772322,0.0651749140575995,-0.14782406418707705,0.09906681673651874
-7.958397964593863,5.320413343217769,-0.11155225332069806,0.23980004678124972,2.6388765276406265,-1.250413302671381,0.26863061403212357,-0.33553656741925436,0.22365604479102275,-0.1226543784066223,0.159554260804056,0.13863133142430906,-0.15381696317551527,0.18502076572915935
-7.532920229487428,-4.8426545992544385,-2.9861067880653467,-2.288099940070387,6.2757237748727075,1.7658800155079566,-0.42994956768375775,-0.36138448079905056,-0.17179560390849433,0.48146778475760876,0.14196178428091052,0.06950787607736124,0.5930484298114125,-0.08063940498427724
